Month    ProductName  TotalQuantity
-------  -----------  -------------
2022-06  JNE3797      340          
2022-06  JNE3797      263          
2022-06  JNE3797      214          
2022-06  JNE3797      204          
2022-06  JNE3797      179          
2022-06  JNE3797      168          
2022-06  JNE3797      160          
2022-06  JNE3797      120          
2022-06  SET392       119          
2022-06  SET345       101          
2022-06  J0230        98           
2022-06  JNE3800      89           
2022-06  J0230        89           
2022-06  JNE3373      86           
2022-06  J0230        84           
2022-06  J0003        84           
2022-06  SET291       81           
2022-06  JNE3800      81           
2022-06  JNE3797      78           
2022-06  JNE3567      78           
2022-06  J0230        75           
2022-06  SET345       71           
2022-06  JNE3721      71           
2022-06  JNE3721      69           
2022-06  JNE3798      67           
2022-06  JNE3801      65           
2022-06  JNE3487      65           
2022-06  JNE3291      63           
2022-06  JNE3487      62           
2022-06  JNE3800      61           
2022-06  JNE3798      60           
2022-06  JNE3800      59           
2022-06  J0003        59           
2022-06  JNE3703      57           
2022-06  SET331       56           
2022-06  JNE2305      56           
2022-06  J0157        56           
2022-06  JNE3801      55           
2022-06  JNE3487      55           
2022-06  SET183       54           
2022-06  J0230        54           
2022-06  SET392       53           
2022-06  SET331       53           
2022-06  JNE3721      53           
2022-06  JNE3440      53           
2022-06  JNE3399      53           
2022-06  JNE3291      53           
2022-06  J0008        53           
2022-06  JNE3801      52           
2022-06  SET345       51           
2022-06  JNE3801      51           
2022-06  JNE3465      51           
2022-06  JNE3798      50           
2022-06  JNE3784      50           
2022-06  SET392       49           
2022-06  SET345       49           
2022-06  JNE3798      49           
2022-06  JNE3399      49           
2022-06  JNE3800      48           
2022-06  SET345       47           
2022-06  JNE3781      47           
2022-06  JNE3613      47           
2022-06  JNE3510      47           
2022-06  J0341        47           
2022-06  SET331       46           
2022-06  JNE3800      46           
2022-06  JNE3798      46           
2022-06  JNE3703      46           
2022-06  J0008        46           
2022-06  SET392       45           
2022-06  SET350       45           
2022-06  SET291       45           
2022-06  JNE3797      45           
2022-06  JNE3784      45           
2022-06  JNE3784      45           
2022-06  JNE3487      45           
2022-06  J0339        45           
2022-06  SET392       44           
2022-06  SET327       44           
2022-06  SET058       44           
2022-06  JNE3654      44           
2022-06  J0301        44           
2022-06  JNE3291      43           
2022-06  J0339        43           
2022-06  J0339        43           
2022-06  SET345       42           
2022-06  JNE3697      42           
2022-06  JNE3465      42           
2022-06  J0379        42           
2022-06  J0349        42           
2022-06  SET331       41           
2022-06  JNE3784      41           
2022-06  JNE3510      41           
2022-06  JNE3697      40           
2022-06  JNE2305      40           
2022-06  SET345       39           
2022-06  J0157        39           
2022-06  J0008        39           
2022-06  JNE3781      38           
2022-06  J0119        38           
2022-06  JNE3291      37           
2022-06  SET350       36           
2022-06  JNE3837      36           
2022-06  JNE3801      36           
2022-06  JNE3721      36           
2022-06  JNE3440      36           
2022-06  JNE3368      36           
2022-06  J0285        36           
2022-06  J0097        36           
2022-06  SET357       35           
2022-06  SET187       35           
2022-06  JNE3781      35           
2022-06  JNE3781      35           
2022-06  JNE3654      35           
2022-06  JNE3468      35           
2022-06  JNE3399      35           
2022-06  J0230        35           
2022-06  SET374       34           
2022-06  SET319       34           
2022-06  SET304       34           
2022-06  JNE3781      34           
2022-06  JNE3613      34           
2022-06  J0119        34           
2022-06  J0117        34           
2022-06  J0012        34           
2022-06  SET357       33           
2022-06  SET331       33           
2022-06  SET327       33           
2022-06  SET324       33           
2022-06  SET184       33           
2022-06  JNE3619      33           
2022-06  JNE3613      33           
2022-06  J0301        33           
2022-06  J0117        33           
2022-06  J0008        33           
2022-06  SET324       32           
2022-06  SET304       32           
2022-06  SET293       32           
2022-06  JNE3697      32           
2022-06  JNE3614      32           
2022-06  J0379        32           
2022-06  J0341        32           
2022-06  J0119        32           
2022-06  SET324       31           
2022-06  SET291       31           
2022-06  JNE3838      31           
2022-06  JNE3798      31           
2022-06  JNE3797      31           
2022-06  JNE3518      31           
2022-06  J0344        31           
2022-06  J0339        31           
2022-06  J0157        31           
2022-06  J0117        31           
2022-06  J0097        31           
2022-06  SET357       30           
2022-06  SET324       30           
2022-06  SET324       30           
2022-06  PJNE3373     30           
2022-06  JNE3703      30           
2022-06  JNE3654      30           
2022-06  JNE3619      30           
2022-06  JNE3613      30           
2022-06  JNE3373      30           
2022-06  JNE3373      30           
2022-06  J0301        30           
2022-06  J0244        30           
2022-06  J0119        30           
2022-06  J0012        30           
2022-06  J0006        30           
2022-06  J0003        30           
2022-06  J0002        30           
2022-06  SET331       29           
2022-06  SET184       29           
2022-06  JNE3869      29           
2022-06  JNE3838      29           
2022-06  JNE3510      29           
2022-06  JNE3468      29           
2022-06  JNE3405      29           
2022-06  SET350       28           
2022-06  SET304       28           
2022-06  SET203       28           
2022-06  PJNE3252     28           
2022-06  PJNE2199     28           
2022-06  JNE3619      28           
2022-06  JNE3546      28           
2022-06  JNE3518      28           
2022-06  JNE3510      28           
2022-06  JNE3463      28           
2022-06  JNE3437      28           
2022-06  J0341        28           
2022-06  J0285        28           
2022-06  J0157        28           
2022-06  SET327       27           
2022-06  SET304       27           
2022-06  JNE3837      27           
2022-06  JNE3659      27           
2022-06  JNE3364      27           
2022-06  J0009        27           
2022-06  J0006        27           
2022-06  SET357       26           
2022-06  SET278       26           
2022-06  SET145       26           
2022-06  JNE3838      26           
2022-06  JNE3822      26           
2022-06  JNE3764      26           
2022-06  JNE3739      26           
2022-06  JNE3546      26           
2022-06  JNE3468      26           
2022-06  JNE3437      26           
2022-06  J0349        26           
2022-06  J0285        26           
2022-06  SET357       25           
2022-06  SET327       25           
2022-06  SET291       25           
2022-06  SET183       25           
2022-06  NW012        25           
2022-06  JNE3838      25           
2022-06  JNE3837      25           
2022-06  JNE3784      25           
2022-06  JNE3718      25           
2022-06  JNE3619      25           
2022-06  JNE3611      25           
2022-06  JNE3465      25           
2022-06  JNE3431      25           
2022-06  JNE3366      25           
2022-06  J0379        25           
2022-06  J0340        25           
2022-06  SET350       24           
2022-06  SET203       24           
2022-06  SET197       24           
2022-06  PJNE3399     24           
2022-06  JNE3764      24           
2022-06  JNE3739      24           
2022-06  JNE3697      24           
2022-06  JNE3634      24           
2022-06  JNE3634      24           
2022-06  JNE3634      24           
2022-06  JNE3518      24           
2022-06  JNE3487      24           
2022-06  JNE3461      24           
2022-06  JNE3437      24           
2022-06  JNE3373      24           
2022-06  JNE3291      24           
2022-06  J0244        24           
2022-06  J0117        24           
2022-06  SET374       23           
2022-06  SET374       23           
2022-06  SET348       23           
2022-06  SET319       23           
2022-06  SET293       23           
2022-06  PJNE3399     23           
2022-06  PJNE3068     23           
2022-06  NW012        23           
2022-06  NW005        23           
2022-06  JNE3861      23           
2022-06  JNE3822      23           
2022-06  JNE3659      23           
2022-06  JNE3659      23           
2022-06  JNE3634      23           
2022-06  JNE3614      23           
2022-06  JNE3518      23           
2022-06  JNE3484      23           
2022-06  JNE3484      23           
2022-06  JNE3468      23           
2022-06  JNE3440      23           
2022-06  JNE3405      23           
2022-06  JNE3396      23           
2022-06  JNE3373      23           
2022-06  J0344        23           
2022-06  J0277        23           
2022-06  J0119        23           
2022-06  J0009        23           
2022-06  J0003        23           
2022-06  SET402       22           
2022-06  SET357       22           
2022-06  SET357       22           
2022-06  SET342       22           
2022-06  SET291       22           
2022-06  SET184       22           
2022-06  JNE3822      22           
2022-06  JNE3810      22           
2022-06  JNE3785      22           
2022-06  JNE3785      22           
2022-06  JNE3784      22           
2022-06  JNE3749      22           
2022-06  JNE3739      22           
2022-06  JNE3718      22           
2022-06  JNE3697      22           
2022-06  JNE3484      22           
2022-06  JNE3461      22           
2022-06  JNE3440      22           
2022-06  JNE3399      22           
2022-06  J0349        22           
2022-06  J0340        22           
2022-06  J0339        22           
2022-06  J0280        22           
2022-06  J0277        22           
2022-06  J0244        22           
2022-06  J0095        22           
2022-06  J0008        22           
2022-06  SET402       21           
2022-06  SET324       21           
2022-06  SET268       21           
2022-06  SET203       21           
2022-06  SET187       21           
2022-06  JNE3810      21           
2022-06  JNE3800      21           
2022-06  JNE3781      21           
2022-06  JNE3764      21           
2022-06  JNE3614      21           
2022-06  JNE3567      21           
2022-06  JNE3546      21           
2022-06  JNE3463      21           
2022-06  JNE3437      21           
2022-06  JNE3373      21           
2022-06  JNE3265      21           
2022-06  JNE2014      21           
2022-06  J0344        21           
2022-06  J0344        21           
2022-06  J0339        21           
2022-06  J0335        21           
2022-06  J0118        21           
2022-06  J0097        21           
2022-06  J0095        21           
2022-06  J0006        21           
2022-06  SET400       20           
2022-06  SET374       20           
2022-06  SET342       20           
2022-06  SET335       20           
2022-06  SET327       20           
2022-06  SET304       20           
2022-06  SET184       20           
2022-06  JNE3887      20           
2022-06  JNE3887      20           
2022-06  JNE3810      20           
2022-06  JNE3800      20           
2022-06  JNE3800      20           
2022-06  JNE3784      20           
2022-06  JNE3764      20           
2022-06  JNE3761      20           
2022-06  JNE3739      20           
2022-06  JNE3721      20           
2022-06  JNE3703      20           
2022-06  JNE3618      20           
2022-06  JNE3614      20           
2022-06  JNE3611      20           
2022-06  JNE3487      20           
2022-06  JNE3468      20           
2022-06  JNE3463      20           
2022-06  JNE3366      20           
2022-06  JNE3334      20           
2022-06  J0379        20           
2022-06  J0353        20           
2022-06  J0341        20           
2022-06  J0301        20           
2022-06  J0041        20           
2022-06  J0009        20           
2022-06  J0006        20           
2022-06  SET374       19           
2022-06  SET328       19           
2022-06  SET293       19           
2022-06  SET288       19           
2022-06  SET288       19           
2022-06  SET233       19           
2022-06  SET145       19           
2022-06  MEN5032      19           
2022-06  MEN5008      19           
2022-06  MEN5004      19           
2022-06  JNE3904      19           
2022-06  JNE3837      19           
2022-06  JNE3837      19           
2022-06  JNE3802      19           
2022-06  JNE3800      19           
2022-06  JNE3797      19           
2022-06  JNE3721      19           
2022-06  JNE3619      19           
2022-06  JNE3613      19           
2022-06  JNE3458      19           
2022-06  JNE3363      19           
2022-06  JNE3334      19           
2022-06  JNE3291      19           
2022-06  J0349        19           
2022-06  J0285        19           
2022-06  J0005        19           
2022-06  J0005        19           
2022-06  J0002        19           
2022-06  SET436       18           
2022-06  SET350       18           
2022-06  SET343       18           
2022-06  SET343       18           
2022-06  SET340       18           
2022-06  SET327       18           
2022-06  SET324       18           
2022-06  NW005        18           
2022-06  JNE3878      18           
2022-06  JNE3878      18           
2022-06  JNE3878      18           
2022-06  JNE3810      18           
2022-06  JNE3803      18           
2022-06  JNE3800      18           
2022-06  JNE3793      18           
2022-06  JNE3709      18           
2022-06  JNE3639      18           
2022-06  JNE3634      18           
2022-06  JNE3614      18           
2022-06  JNE3468      18           
2022-06  JNE3458      18           
2022-06  JNE3399      18           
2022-06  J0341        18           
2022-06  J0335        18           
2022-06  J0117        18           
2022-06  J0003        18           
2022-06  SET405       17           
2022-06  SET396       17           
2022-06  SET363       17           
2022-06  SET310       17           
2022-06  SET310       17           
2022-06  SET293       17           
2022-06  SET251       17           
2022-06  SET203       17           
2022-06  SET184       17           
2022-06  SET014       17           
2022-06  MEN5004      17           
2022-06  JNE3905      17           
2022-06  JNE3860      17           
2022-06  JNE3837      17           
2022-06  JNE3798      17           
2022-06  JNE3797      17           
2022-06  JNE3793      17           
2022-06  JNE3738      17           
2022-06  JNE3633      17           
2022-06  JNE3560      17           
2022-06  JNE3510      17           
2022-06  JNE3458      17           
2022-06  JNE3440      17           
2022-06  JNE3405      17           
2022-06  JNE3399      17           
2022-06  JNE3160      17           
2022-06  JNE2270      17           
2022-06  J0354        17           
2022-06  J0301        17           
2022-06  J0281        17           
2022-06  J0280        17           
2022-06  J0244        17           
2022-06  J0244        17           
2022-06  J0157        17           
2022-06  J0041        17           
2022-06  J0012        17           
2022-06  J0008        17           
2022-06  SET408       16           
2022-06  SET402       16           
2022-06  SET397       16           
2022-06  SET356       16           
2022-06  SET348       16           
2022-06  SET343       16           
2022-06  SET340       16           
2022-06  SET319       16           
2022-06  SET293       16           
2022-06  SET288       16           
2022-06  SET278       16           
2022-06  SET217       16           
2022-06  SET171       16           
2022-06  SET145       16           
2022-06  PJNE2199     16           
2022-06  NW012        16           
